text,label
India declares free petrol for all citizens starting from next Monday in phase 1.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 2, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 3.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 4, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 5.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 6, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 7.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 8, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 9.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 10, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 11.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 12, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 13.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 14, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 15.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 16, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 17.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 18, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 19.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 20, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 21.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 22, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 23.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 24, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 25.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 26, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 27.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 28, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 29.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 30, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 31.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 32, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 33.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 34, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 35.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 36, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 37.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 38, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 39.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 40, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 41.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 42, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 43.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 44, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 45.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 46, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 47.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 48, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 49.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 50, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 51.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 52, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 53.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 54, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 55.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 56, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 57.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 58, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 59.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 60, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 61.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 62, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 63.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 64, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 65.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 66, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 67.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 68, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 69.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 70, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 71.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 72, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 73.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 74, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 75.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 76, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 77.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 78, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 79.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 80, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 81.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 82, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 83.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 84, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 85.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 86, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 87.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 88, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 89.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 90, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 91.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 92, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 93.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 94, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 95.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 96, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 97.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 98, boosting connectivity and trade across India.",real
India declares free petrol for all citizens starting from next Monday in phase 99.,fake
"PM Modi inaugurates Delhi–Mumbai Expressway section 100, boosting connectivity and trade across India.",real
India announces mission to colonize Mars by year 2030 under project 101.,fake
"ISRO successfully launches PSLV-C102, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 103.,fake
"ISRO successfully launches PSLV-C104, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 105.,fake
"ISRO successfully launches PSLV-C106, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 107.,fake
"ISRO successfully launches PSLV-C108, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 109.,fake
"ISRO successfully launches PSLV-C110, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 111.,fake
"ISRO successfully launches PSLV-C112, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 113.,fake
"ISRO successfully launches PSLV-C114, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 115.,fake
"ISRO successfully launches PSLV-C116, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 117.,fake
"ISRO successfully launches PSLV-C118, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 119.,fake
"ISRO successfully launches PSLV-C120, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 121.,fake
"ISRO successfully launches PSLV-C122, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 123.,fake
"ISRO successfully launches PSLV-C124, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 125.,fake
"ISRO successfully launches PSLV-C126, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 127.,fake
"ISRO successfully launches PSLV-C128, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 129.,fake
"ISRO successfully launches PSLV-C130, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 131.,fake
"ISRO successfully launches PSLV-C132, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 133.,fake
"ISRO successfully launches PSLV-C134, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 135.,fake
"ISRO successfully launches PSLV-C136, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 137.,fake
"ISRO successfully launches PSLV-C138, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 139.,fake
"ISRO successfully launches PSLV-C140, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 141.,fake
"ISRO successfully launches PSLV-C142, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 143.,fake
"ISRO successfully launches PSLV-C144, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 145.,fake
"ISRO successfully launches PSLV-C146, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 147.,fake
"ISRO successfully launches PSLV-C148, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 149.,fake
"ISRO successfully launches PSLV-C150, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 151.,fake
"ISRO successfully launches PSLV-C152, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 153.,fake
"ISRO successfully launches PSLV-C154, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 155.,fake
"ISRO successfully launches PSLV-C156, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 157.,fake
"ISRO successfully launches PSLV-C158, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 159.,fake
"ISRO successfully launches PSLV-C160, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 161.,fake
"ISRO successfully launches PSLV-C162, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 163.,fake
"ISRO successfully launches PSLV-C164, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 165.,fake
"ISRO successfully launches PSLV-C166, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 167.,fake
"ISRO successfully launches PSLV-C168, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 169.,fake
"ISRO successfully launches PSLV-C170, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 171.,fake
"ISRO successfully launches PSLV-C172, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 173.,fake
"ISRO successfully launches PSLV-C174, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 175.,fake
"ISRO successfully launches PSLV-C176, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 177.,fake
"ISRO successfully launches PSLV-C178, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 179.,fake
"ISRO successfully launches PSLV-C180, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 181.,fake
"ISRO successfully launches PSLV-C182, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 183.,fake
"ISRO successfully launches PSLV-C184, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 185.,fake
"ISRO successfully launches PSLV-C186, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 187.,fake
"ISRO successfully launches PSLV-C188, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 189.,fake
"ISRO successfully launches PSLV-C190, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 191.,fake
"ISRO successfully launches PSLV-C192, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 193.,fake
"ISRO successfully launches PSLV-C194, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 195.,fake
"ISRO successfully launches PSLV-C196, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 197.,fake
"ISRO successfully launches PSLV-C198, placing multiple satellites into orbit.",real
India announces mission to colonize Mars by year 2030 under project 199.,fake
"ISRO successfully launches PSLV-C200, placing multiple satellites into orbit.",real
Government approves free international trips for all citizens starting batch 201.,fake
Indian Railways introduces Vande Bharat Express service number 202 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 203.,fake
Indian Railways introduces Vande Bharat Express service number 204 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 205.,fake
Indian Railways introduces Vande Bharat Express service number 206 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 207.,fake
Indian Railways introduces Vande Bharat Express service number 208 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 209.,fake
Indian Railways introduces Vande Bharat Express service number 210 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 211.,fake
Indian Railways introduces Vande Bharat Express service number 212 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 213.,fake
Indian Railways introduces Vande Bharat Express service number 214 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 215.,fake
Indian Railways introduces Vande Bharat Express service number 216 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 217.,fake
Indian Railways introduces Vande Bharat Express service number 218 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 219.,fake
Indian Railways introduces Vande Bharat Express service number 220 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 221.,fake
Indian Railways introduces Vande Bharat Express service number 222 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 223.,fake
Indian Railways introduces Vande Bharat Express service number 224 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 225.,fake
Indian Railways introduces Vande Bharat Express service number 226 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 227.,fake
Indian Railways introduces Vande Bharat Express service number 228 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 229.,fake
Indian Railways introduces Vande Bharat Express service number 230 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 231.,fake
Indian Railways introduces Vande Bharat Express service number 232 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 233.,fake
Indian Railways introduces Vande Bharat Express service number 234 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 235.,fake
Indian Railways introduces Vande Bharat Express service number 236 with faster travel and comfort.,real
Government approves free international trips for all citizens starting batch 237.,fake
Indian Railways introduces Vande Bharat Express service number 238 with faster travel and comfort.,real
